,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,3.9120230054281455,0.0,17.380000000000003,0.0,3.9120230054281455
1,0.0,3.9120230054281455,0.0,17.38,0.0,3.9120230054281455
2,0.0,3.9120230054281455,0.0,17.380000000000003,0.0,3.9120230054281455
3,0.0,3.9120230054281455,0.0,17.380000000000003,0.0,3.9120230054281455
4,0.0,3.9120230054281464,0.0,17.380000000000003,0.0,3.9120230054281464
,no_query,no_query,no_query,no_query,no_query,no_query
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.6438561897747235,0.0,17.380000000000003,0.0,0.0
1,0.0,5.6438561897747235,0.0,17.380000000000003,0.0,0.0
2,0.0,5.6438561897747235,0.0,17.380000000000003,0.0,0.0
3,0.0,5.6438561897747235,0.0,17.380000000000003,0.0,0.0
4,0.0,5.6438561897747235,0.0,17.380000000000003,0.0,0.0
,random,random,random,random,random,random
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,3.9120230054281455,0.0,17.380000000000003,0.0,0.0
1,0.0,3.9120230054281455,0.0,17.38,0.0,0.0
2,0.0,3.9120230054281455,0.0,17.380000000000003,0.0,0.0
3,0.0,3.9120230054281455,0.0,17.380000000000003,0.0,0.0
4,0.0,3.9120230054281464,0.0,17.380000000000003,0.0,0.0
